AirportCode,City,StateCode,StateName,Latitude,Longitude
RAP,Rapid City,SD,South Dakota,44.0448069,-103.0606801
MFE,Mission/McAllen/Edinburg,TX,Texas,26.17627985,-98.23960548
MRY,Monterey,CA,California,36.58705795,-121.8419398
RSW,Fort Myers,FL,Florida,26.53294975,-81.75880563
MSN,Madison,WI,Wisconsin,43.1420815,-89.33774534
ROW,Roswell,NM,New Mexico,33.3006936,-104.5316574
MLU,Monroe,LA,Louisiana,32.5111077,-92.0384615
FAT,Fresno,CA,California,36.776006,-119.7197446
CWA,Mosinee,WI,Wisconsin,44.7727172,-89.66716494
COS,Colorado Springs,CO,Colorado,38.8004299,-104.7032771
CRW,Charleston/Dunbar,WV,West Virginia,38.37294755,-81.59421973
MYR,Myrtle Beach,SC,South Carolina,33.6806406,-78.92905971
GNV,Gainesville,FL,Florida,29.6923104,-82.27599665
ITO,Hilo,HI,Hawaii,19.7188306,-155.0475539
GSP,Greer,SC,South Carolina,34.8954456,-82.21722846
TVC,Traverse City,MI,Michigan,44.7417371,-85.58025526
TRI,Bristol/Johnson City/Kingsport,TN,Tennessee,36.47344765,-82.40843269
MHT,Manchester,NH,New Hampshire,42.93066555,-71.43880866
AGS,Augusta,GA,Georgia,33.37230205,-81.96506391
BOI,Boise,ID,Idaho,43.55988165,-116.2078225
KTN,Ketchikan,AK,Alaska,55.35376475,-131.7083563
CAK,Akron,OH,Ohio,40.9152061,-81.43992419
OXR,Oxnard/Ventura,CA,California,34.20009175,-119.2078946
SRQ,Sarasota/Bradenton,FL,Florida,27.39598835,-82.55407423
MOB,Mobile,AL,Alabama,30.6926918,-88.24133863
ELP,El Paso,TX,Texas,31.809584,-106.366598
RST,Rochester,MN,Minnesota,43.90430975,-92.49544413
ISN,Williston,ND,North Dakota,48.1771083,-103.6401256
SGF,Springfield,MO,Missouri,37.24298375,-93.38891406
HPN,White Plains,NY,New York,41.0680174,-73.70833334
JAX,Jacksonville,FL,Florida,30.49375,-81.69303816
FLG,Flagstaff,AZ,Arizona,35.14039825,-111.6702044
CPR,Casper,WY,Wyoming,42.9054243,-106.4645276
LBB,Lubbock,TX,Texas,33.66525745,-101.8266887
ITH,Ithaca/Cortland,NY,New York,42.49180205,-76.46069462
BFL,Bakersfield,CA,California,35.4364902,-119.0588838
ATW,Appleton,WI,Wisconsin,44.25659495,-88.52169599
LGB,Long Beach,CA,California,33.8155659,-118.1534292
RDM,Bend/Redmond,OR,Oregon,44.25408195,-121.1490687
FWA,Fort Wayne,IN,Indiana,40.9798288,-85.18791163
BTV,Burlington,VT,Vermont,44.4728965,-73.15146137
FNT,Flint,MI,Michigan,42.9602486,-83.74564547
FAR,Fargo,ND,North Dakota,46.9208925,-96.81448803
CMH,Columbus,OH,Ohio,39.99705605,-82.89304061
CID,Cedar Rapids/Iowa City,IA,Iowa,41.8853041,-91.71472417
ISP,Islip,NY,New York,40.79580915,-73.09920086
PSC,Pasco/Kennewick/Richland,WA,Washington,46.2635986,-119.1189015
SDF,Louisville,KY,Kentucky,38.1716962,-85.73540756
CLD,Carlsbad,CA,California,33.12754605,-117.2814001
YAK,Yakutat,AK,Alaska,59.50081355,-139.6440808
PIA,Peoria,IL,Illinois,-27.1891033,116.2846248
HSV,Huntsville,AL,Alabama,34.63699305,-86.76383388
XNA,Fayetteville,AR,Arkansas,36.27981,-94.30259017
ASE,Aspen,CO,Colorado,39.22142085,-106.8673412
ROA,Roanoke,VA,Virginia,37.32442625,-79.97679739
CLL,College Station/Bryan,TX,Texas,30.58822845,-96.36411164
MGM,Montgomery,AL,Alabama,32.2962424,-86.39041851
LAW,Lawton/Fort Sill,OK,Oklahoma,34.5698495,-98.4181223
MDT,Harrisburg,PA,Pennsylvania,40.1932098,-76.75294587
HDN,Hayden,CO,Colorado,40.4844693,-107.220936
SBN,South Bend,IN,Indiana,41.7091043,-86.32325341
PNS,Pensacola,FL,Florida,30.4725975,-87.18808593
RIC,Richmond,VA,Virginia,37.5073698,-77.3336845
SCE,State College,PA,Pennsylvania,40.85032355,-77.84866392
PSG,Petersburg,AK,Alaska,56.80197975,-132.9449311
MFR,Medford,OR,Oregon,42.3727441,-122.8734383
ILE,Killeen,TX,Texas,31.0860075,-97.68657393
BQN,Aguadilla,PR,Puerto Rico,18.49346055,-67.13421587
CEC,Crescent City,CA,California,41.7814506,-124.2380711
GSO,Greensboro/High Point,NC,North Carolina,36.1020574,-79.94459695
HHH,Hilton Head,SC,South Carolina,32.2251885,-80.69690308
LSE,La Crosse,WI,Wisconsin,43.878607,-91.25557154
KOA,Kona,HI,Hawaii,19.743906,-156.042296
PGD,Punta Gorda,FL,Florida,26.9194137,-81.9930281
HYS,Hays,KS,Kansas,38.84114805,-99.27083846
JNU,Juneau,AK,Alaska,58.3566191,-134.580193
MTJ,Montrose/Delta,CO,Colorado,38.5118206,-107.892488
EUG,Eugene,OR,Oregon,44.12416275,-123.214918
FAI,Fairbanks,AK,Alaska,64.8144016,-147.8586809
EVV,Evansville,IN,Indiana,38.04221405,-87.52879411
ACV,Arcata/Eureka,CA,California,40.9763645,-124.1084259
MQT,Marquette,MI,Michigan,46.35340685,-87.39695851
GPT,Gulfport/Biloxi,MS,Mississippi,22.3160874,113.9364784
BET,Bethel,AK,Alaska,60.7789171,-161.8381152
ROC,Rochester,NY,New York,43.1161699,-77.67269339
TOL,Toledo,OH,Ohio,-4.98093375,152.0100794
GTF,Great Falls,MT,Montana,47.4800263,-111.375579
HLN,Helena,MT,Montana,46.6063969,-111.9827445
ELM,Elmira/Corning,NY,New York,42.16082385,-76.89412932
ABI,Abilene,TX,Texas,61.62916165,-149.0469542
MAF,Midland/Odessa,TX,Texas,31.9460261,-102.2106187
MCN,Macon,GA,Georgia,32.6938395,-83.64801777
YUM,Yuma,AZ,Arizona,32.64851395,-114.6077259
CDC,Cedar City,UT,Utah,37.7025428,-113.0991022
MOT,Minot,ND,North Dakota,48.25794645,-101.2770051
FAY,Fayetteville,NC,North Carolina,34.9921371,-78.88416821
ABE,Allentown/Bethlehem/Easton,PA,Pennsylvania,40.6511137,-75.44223357
DAB,Daytona Beach,FL,Florida,29.1816439,-81.05426943
EYW,Key West,FL,Florida,24.5554773,-81.75961603
HRL,Harlingen/San Benito,TX,Texas,26.23004735,-97.65370801
DRO,Durango,CO,Colorado,37.15284235,-107.7586059
SGU,St. George,UT,Utah,37.0342442,-113.5090165
CAE,Columbia,SC,South Carolina,33.93886305,-81.11397151
TTN,Trenton,NJ,New Jersey,40.27641195,-74.81321108
LAR,Laramie,WY,Wyoming,41.3134545,-105.6728654
FCA,Kalispell,MT,Montana,48.3108042,-114.2556937
BIS,Bismarck/Mandan,ND,North Dakota,46.7732585,-100.7471637
AVL,Asheville,NC,North Carolina,35.4364233,-82.54088095
SIT,Sitka,AK,Alaska,57.0479557,-135.3635849
PHF,Newport News/Williamsburg,VA,Virginia,37.1322965,-76.49401292
BQK,Brunswick,GA,Georgia,31.259811,-81.46397066
TLH,Tallahassee,FL,Florida,30.39782605,-84.35908394
JAC,Jackson,WY,Wyoming,43.6087926,-110.7380325
SBP,San Luis Obispo,CA,California,35.2374914,-120.6433199
SFB,Sanford,FL,Florida,28.7759519,-81.24123904
MHK,Manhattan/Ft. Riley,KS,Kansas,39.13875695,-96.66961383
LCH,Lake Charles,LA,Louisiana,30.12242205,-93.22206256
BLI,Bellingham,WA,Washington,48.79368955,-122.5359569
CHO,Charlottesville,VA,Virginia,38.1410056,-78.45045798
SPS,Wichita Falls,TX,Texas,33.9661199,-98.48989709
ILM,Wilmington,NC,North Carolina,34.27353635,-77.90953507
SYR,Syracuse,NY,New York,43.1141752,-76.11914451
ERI,Erie,PA,Pennsylvania,42.08471035,-80.17447235
CSG,Columbus,GA,Georgia,32.51660405,-84.9420079
BRO,Brownsville,TX,Texas,25.905718,-97.42552923
DLH,Duluth,MN,Minnesota,46.84188665,-92.20297538
AZO,Kalamazoo,MI,Michigan,42.2307865,-85.55104192
EWN,New Bern/Morehead/Beaufort,NC,North Carolina,35.07097995,-77.03950054
SUX,Sioux City,IA,Iowa,42.4036084,-96.3836488
LRD,Laredo,TX,Texas,27.54721475,-99.46147683
GCC,Gillette,WY,Wyoming,44.34685815,-105.5379262
LFT,Lafayette,LA,Louisiana,30.2031617,-91.98991066
FLO,Florence,SC,South Carolina,34.18512895,-79.72539991
IMT,Iron Mountain/Kingsfd,MI,Michigan,45.8213995,-88.11311416
DBQ,Dubuque,IA,Iowa,42.4013234,-90.7064773
SWF,Newburgh/Poughkeepsie,NY,New York,41.5020532,-74.12120288
MBS,Saginaw/Bay City/Midland,MI,Michigan,43.53579615,-84.08284957
SJT,San Angelo,TX,Texas,31.35468635,-100.4986245
GRK,Killeen,TX,Texas,31.0616542,-97.82060336
OAJ,Jacksonville/Camp Lejeune,NC,North Carolina,34.82679245,-77.61493391
BRD,Brainerd,MN,Minnesota,46.40507465,-94.12827993
ALO,Waterloo,IA,Iowa,42.5577097,-92.39406158
SHD,Staunton,VA,Virginia,38.26252605,-78.89996407
STX,Christiansted,VI,U.S. Virgin Islands,17.69997805,-64.8059209
ABY,Albany,GA,Georgia,31.5339678,-84.19254493
LWS,Lewiston,ID,Idaho,46.37573125,-117.015503
LMT,Klamath Falls,OR,Oregon,42.15643655,-121.7327762
USA,CONCORD,NC,North Carolina,42.3743325,-71.0302794
ECP,Panama City,FL,Florida,30.35993085,-85.80404564
BGM,Binghamton,NY,New York,42.2106484,-75.98155093
ACT,Waco,TX,Texas,31.6127285,-97.22484009
AVP,Scranton/Wilkes-Barre,PA,Pennsylvania,41.33709205,-75.72257123
BMI,Bloomington/Normal,IL,Illinois,40.4733557,-88.91480265
LNK,Lincoln,NE,Nebraska,40.84731465,-96.75744256
BGR,Bangor,ME,Maine,44.8072619,-68.81941486
MOD,Modesto,CA,California,37.626058,-120.9577178
IPL,El Centro,CA,California,32.83500895,-115.5742827
PIH,Pocatello,ID,Idaho,42.9074805,-112.5928393
TXK,Texarkana,AR,Arkansas,33.45252615,-93.99025019
IDA,Idaho Falls,ID,Idaho,43.5151828,-112.0661095
GGG,Longview,TX,Texas,32.38381895,-94.71366358
ESC,Escanaba,MI,Michigan,45.72455915,-87.08899328
CMI,Champaign/Urbana,IL,Illinois,40.0383172,-88.27156685
SMX,Santa Maria,CA,California,34.8994719,-120.4555162
PSE,Ponce,PR,Puerto Rico,18.008886,-66.56334975
MKG,Muskegon,MI,Michigan,43.1703365,-86.2370531
FSM,Fort Smith,AR,Arkansas,35.3392525,-94.35697826
GRI,Grand Island,NE,Nebraska,40.97051495,-98.30753672
AEX,Alexandria,LA,Louisiana,31.32927365,-92.54095487
PIB,Hattiesburg/Laurel,MS,Mississippi,31.4672,-89.3363366
IAG,Niagara Falls,NY,New York,43.10726625,-78.95234982
TWF,Twin Falls,ID,Idaho,42.4817,-114.4877
MLB,Melbourne,FL,Florida,28.1016898,-80.64816341
GFK,Grand Forks,ND,North Dakota,47.9518219,-97.17447065
CMX,Hancock/Houghton,MI,Michigan,47.16827015,-88.4865113
ADK,Adak Island,AK,Alaska,51.8759083,-176.6503973
ACY,Atlantic City,NJ,New Jersey,39.45708535,-74.57027649
EAU,Eau Claire,WI,Wisconsin,44.8689683,-91.48550075
BTM,Butte,MT,Montana,45.95485055,-112.4965953
BJI,Bemidji,MN,Minnesota,47.5101068,-94.92982435
BPT,Beaumont/Port Arthur,TX,Texas,29.95237505,-94.02178081
EKO,Elko,NV,Nevada,40.82550195,-115.7880111
ABR,Aberdeen,SD,South Dakota,45.44449015,-98.4145151
UTM,Tunica,MS,Mississippi,34.6853311,-90.34808054
CDV,Cordova,AK,Alaska,60.49175165,-145.4738854
WRG,Wrangell,AK,Alaska,56.48381455,-132.3716608
EGE,Eagle,CO,Colorado,39.64225685,-106.9172206
HOB,Hobbs,NM,New Mexico,32.68632,-103.2142949
RDD,Redding,CA,California,40.51108035,-122.296109
PFN,Panama City,FL,Florida,,
CIC,Chico,CA,California,39.79399045,-121.8547911
VLD,Valdosta,GA,Georgia,30.77831025,-83.27803411
GUC,Gunnison,CO,Colorado,38.5323609,-106.9398273
SPI,Springfield,IL,Illinois,39.84368615,-89.67956595
OTZ,Kotzebue,AK,Alaska,66.8836843,-162.6107466
SCC,Deadhorse,AK,Alaska,70.1949782,-148.4642409
LYH,Lynchburg,VA,Virginia,37.3221732,-79.20660297
SUN,Sun Valley/Hailey/Ketchum,ID,Idaho,43.50392605,-114.2971542
RKS,Rock Springs,WY,Wyoming,41.59507585,-109.0684214
GTR,Columbus,MS,Mississippi,33.4502,-88.5903986
APN,Alpena,MI,Michigan,45.07879025,-83.55999676
JMS,Jamestown,ND,North Dakota,46.9276783,-98.67813531
MEI,Meridian,MS,Mississippi,32.32774155,-88.75257828
ORH,Worcester,MA,Massachusetts,42.2686095,-71.87306398
BKG,Branson,MO,Missouri,36.52780005,-93.19781658
AKN,King Salmon,AK,Alaska,58.6753166,-156.649387
DHN,Dothan,AL,Alabama,31.321627,-85.44961351
VEL,Vernal,UT,Utah,40.43530255,-109.5116072
ADQ,Kodiak,AK,Alaska,57.7535941,-152.5136697
LBE,Latrobe,PA,Pennsylvania,40.272974,-79.40641166
AZA,Phoenix,AZ,Arizona,33.30591455,-111.6526441
STS,Santa Rosa,CA,California,38.51041215,-122.8143895
COU,Columbia,MO,Missouri,38.8168307,-92.2198931
EFD,Houston,TX,Texas,29.60462745,-95.16560428
CKB,Clarksburg/Fairmont,WV,West Virginia,39.29950215,-80.22843231
COD,Cody,WY,Wyoming,44.52075195,-109.0218534
DUT,Unalaska,AK,Alaska,53.8990136,-166.5447033
IYK,Inyokern,CA,California,35.65830415,-117.8302215
DLG,Dillingham,AK,Alaska,59.0433568,-158.5112028
LBL,Liberal,KS,Kansas,37.04496205,-100.9586671
ILG,Wilmington,DE,Delaware,39.6796715,-75.60763354
CIU,Sault Ste. Marie,MI,Michigan,46.2424749,-84.46359806
UIN,Quincy,IL,Illinois,39.9447505,-91.19378942
HIB,Hibbing,MN,Minnesota,47.38500865,-92.83874878
ACK,Nantucket,MA,Massachusetts,41.2558239,-70.05803775
INL,International Falls,MN,Minnesota,48.5661049,-93.40407638
VIS,Visalia,CA,California,36.3161377,-119.3904284
JLN,Joplin,MO,Missouri,37.15928825,-94.50090287
LBF,North Platte,NE,Nebraska,41.12802075,-100.6886244
HTS,Ashland,WV,West Virginia,38.36796505,-82.55960212
PUB,Pueblo,CO,Colorado,38.29844685,-104.503308
DVL,Devils Lake,ND,North Dakota,48.1138202,-98.9072037
CNY,Moab,UT,Utah,38.7689887,-109.7507962
OTH,North Bend/Coos Bay,OR,Oregon,43.41549325,-124.2434654
LCK,Columbus,OH,Ohio,39.8132172,-82.93419973
CGI,Cape Girardeau,MO,Missouri,37.22471585,-89.56800318
RHI,Rhinelander,WI,Wisconsin,45.6314535,-89.47897405
PBG,Plattsburgh,NY,New York,44.6516866,-73.4643667
GCK,Garden City,KS,Kansas,37.92967115,-100.7264319
GUM,Guam,TT,U.S. Pacific Trust Territories and Possessions,13.4864902,144.8020603
TUP,Tupelo,MS,Mississippi,34.26748865,-88.76847486
LWB,Lewisburg,WV,West Virginia,37.8586232,-80.39963715
PGV,Greenville,NC,North Carolina,35.63797635,-77.3800184
SCK,Stockton,CA,California,37.8943699,-121.2436346
STC,St. Cloud,MN,Minnesota,45.54722915,-94.05849943
VCT,Victoria,TX,Texas,28.8540778,-96.91812068
ART,Watertown,NY,New York,43.9896298,-76.02236707
BFF,Scottsbluff,NE,Nebraska,41.87685875,-103.5949185
DIK,Dickinson,ND,North Dakota,46.8016713,-102.8005097
PPG,Pago Pago,TT,U.S. Pacific Trust Territories and Possessions,-14.3347658,-170.7159686
PVU,Provo,UT,Utah,40.2192141,-111.7205738
APF,Naples,FL,Florida,26.1523225,-81.77394138
RFD,Rockford,IL,Illinois,42.1966203,-89.10185949
MKK,Hoolehua,HI,Hawaii,21.15264475,-157.0962161
SOP,Pinehurst/Southern Pines,NC,North Carolina,42.0961111,-73.8552778
PAE,Everett,WA,Washington,47.9088268,-122.2794302
PLN,Pellston,MI,Michigan,45.56926085,-84.79694655
HYA,Hyannis,MA,Massachusetts,41.6707658,-70.28439043
SLN,Salina,KS,Kansas,38.7927541,-97.65486608
PSM,Portsmouth,NH,New Hampshire,43.07902105,-70.81867768
CYS,Cheyenne,WY,Wyoming,41.1562943,-104.8088246
MMH,Mammoth Lakes,CA,California,37.6254888,-118.8417509
PMD,Palmdale,CA,California,34.6274752,-118.0939756
HVN,New Haven,CT,Connecticut,41.2626111,-72.88563444
WYS,West Yellowstone,MT,Montana,44.6864408,-111.1173851
IFP,Bullhead City,AZ,Arizona,35.154391,-114.5586821
GST,Gustavus,AK,Alaska,58.42498035,-135.7054108
ISO,Kinston,NC,North Carolina,35.3290496,-77.6077152
PRC,Prescott,AZ,Arizona,22.3160874,113.9364784
SPN,Saipan,TT,U.S. Pacific Trust Territories and Possessions,15.12049075,145.7296252
HKY,Hickory,NC,North Carolina,35.7410004,-81.3892697
MVY,Martha's Vineyard,MA,Massachusetts,41.3923919,-70.61459569
BLV,Belleville,IL,Illinois,38.5461016,-89.81997446
DRT,Del Rio,TX,Texas,29.3725627,-100.9224832
